RAW_VAR,VAR_DEF_EN,VAR_DEF_DE
gender,gender,gender
SeniorCitizen,SeniorCitizen,SeniorCitizen
Partner,Partner,Partner
Dependents,Dependents,Dependents
tenure,tenure,tenure
PhoneService,PhoneService,PhoneService
MultipleLines,MultipleLines,MultipleLines
InternetService,InternetService,InternetService
OnlineSecurity,OnlineSecurity,OnlineSecurity
OnlineBackup,OnlineBackup,OnlineBackup
DeviceProtection,DeviceProtection,DeviceProtection
TechSupport,TechSupport,TechSupport
StreamingTV,StreamingTV,StreamingTV
StreamingMovies,StreamingMovies,StreamingMovies
Contract,Contract,Contract
PaperlessBilling,PaperlessBilling,PaperlessBilling
PaymentMethod,PaymentMethod,PaymentMethod
MonthlyCharges,MonthlyCharges,MonthlyCharges
TotalCharges,TotalCharges,TotalCharges
